Epoch 272 loss = 96.09738 	 PPV@L = 0.925 	 First Error = 45
Epoch 273 loss = 96.01508 	 PPV@L = 0.906 	 First Error = 44
Epoch 274 loss = 96.08727 	 PPV@L = 0.943 	 First Error = 44
Epoch 275 loss = 96.00953 	 PPV@L = 0.962 	 First Error = 44
Epoch 276 loss = 95.99739 	 PPV@L = 0.906 	 First Error = 44
Epoch 277 loss = 95.99999 	 PPV@L = 0.906 	 First Error = 44
Epoch 278 loss = 95.92438 	 PPV@L = 0.906 	 First Error = 44
Epoch 279 loss = 95.83009 	 PPV@L = 0.943 	 First Error = 44
Epoch 280 loss = 95.83664 	 PPV@L = 0.943 	 First Error = 44
Epoch 281 loss = 95.82465 	 PPV@L = 0.925 	 First Error = 44
Epoch 282 loss = 95.80988 	 PPV@L = 0.906 	 First Error = 46
Epoch 283 loss = 95.72974 	 PPV@L = 0.906 	 First Error = 42
Epoch 284 loss = 95.71172 	 PPV@L = 0.943 	 First Error = 45
Epoch 285 loss = 95.7562 	 PPV@L = 0.943 	 First Error = 44
Epoch 286 loss = 95.65593 	 PPV@L = 0.943 	 First Error = 45
Epoch 287 loss = 95.6971 	 PPV@L = 0.887 	 First Error = 42
Epoch 288 loss = 95.58987 	 PPV@L = 0.962 	 First Error = 45
Epoch 289 loss = 95.57961 	 PPV@L = 0.943 	 First Error = 44
Epoch 290 loss = 95.60432 	 PPV@L = 0.925 	 First Error = 43
Epoch 291 loss = 95.50121 	 PPV@L = 0.943 	 First Error = 45
Epoch 292 loss = 95.51863 	 PPV@L = 0.925 	 First Error = 44
Epoch 293 loss = 95.3895 	 PPV@L = 0.943 	 First Error = 43
Epoch 294 loss = 95.39307 	 PPV@L = 0.925 	 First Error = 45
Epoch 295 loss = 95.36889 	 PPV@L = 0.925 	 First Error = 45
Epoch 296 loss = 95.36113 	 PPV@L = 0.925 	 First Error = 45
Epoch 297 loss = 95.31945 	 PPV@L = 0.925 	 First Error = 44
Epoch 298 loss = 95.34915 	 PPV@L = 0.925 	 First Error = 43
Epoch 299 loss = 95.25954 	 PPV@L = 0.981 	 First Error = 42
Epoch 300 loss = 95.22968 	 PPV@L = 0.906 	 First Error = 44
